Date,Unemployment_Rate,^GSPC,^IXIC,^DJI,Interest_Rate,Inflation_Rate
2005-09-30,5.0,1228.81,2151.69,10568.7,3.62,4.7
2005-10-31,5.0,1207.01,2120.3,10440.07,3.78,4.3
2005-11-30,5.0,1249.48,2232.82,10805.87,4.0,3.5
2005-12-31,4.9,1248.29,2205.32,10717.5,4.16,3.4
2006-01-31,4.7,1280.08,2305.82,10864.86,4.29,4.0
2006-02-28,4.8,1280.66,2281.39,10993.41,4.49,3.6
2006-03-31,4.7,1294.87,2339.79,11109.32,4.59,3.4
2006-04-30,4.7,1310.61,2322.57,11367.14,4.79,3.5
2006-05-31,4.6,1270.09,2178.88,11168.31,4.94,4.2
2006-06-30,4.6,1270.2,2172.09,11150.22,4.99,4.3
2006-07-31,4.7,1276.66,2091.47,11185.68,5.24,4.1
2006-08-31,4.7,1303.82,2183.75,11381.15,5.25,3.8
2006-09-30,4.5,1335.85,2258.43,11679.07,5.25,2.1
2006-10-31,4.4,1377.94,2366.71,12080.73,5.25,1.3
2006-11-30,4.5,1400.63,2431.77,12221.93,5.25,2.0
2006-12-31,4.4,1418.3,2415.29,12463.15,5.24,2.5
2007-01-31,4.6,1438.24,2463.93,12621.69,5.25,2.1
2007-02-28,4.5,1406.82,2416.15,12268.63,5.26,2.4
2007-03-31,4.4,1420.86,2421.64,12354.35,5.26,2.8
2007-04-30,4.5,1482.37,2525.09,13062.91,5.25,2.6
2007-05-31,4.4,1530.62,2604.52,13627.64,5.25,2.7
2007-06-30,4.6,1503.35,2603.23,13408.62,5.25,2.7
2007-07-31,4.7,1455.27,2546.27,13211.99,5.26,2.4
2007-08-31,4.6,1473.99,2596.36,13357.74,5.02,2.0
2007-09-30,4.7,1526.75,2701.5,13895.63,4.94,2.8
2007-10-31,4.7,1549.38,2859.12,13930.01,4.76,3.5
2007-11-30,4.7,1481.14,2660.96,13371.72,4.49,4.3
2007-12-31,5.0,1468.36,2652.28,13264.82,4.24,4.1
2008-01-31,5.0,1378.55,2389.86,12650.36,3.94,4.3
2008-02-29,4.9,1330.63,2271.48,12266.39,2.98,4.0
2008-03-31,5.1,1322.7,2279.1,12262.89,2.61,4.0
2008-04-30,5.0,1385.59,2412.8,12820.13,2.28,3.9
2008-05-31,5.4,1400.38,2522.66,12638.32,1.98,4.2
2008-06-30,5.6,1280.0,2292.98,11350.01,2.0,5.0
2008-07-31,5.8,1267.38,2325.55,11378.02,2.01,5.6
2008-08-31,6.1,1282.83,2367.52,11543.96,2.0,5.4
2008-09-30,6.1,1166.36,2091.88,10850.66,1.81,4.9
2008-10-31,6.5,968.75,1720.95,9325.01,0.97,3.7
2008-11-30,6.8,896.24,1535.57,8829.04,0.39,1.1
2008-12-31,7.3,903.25,1577.03,8776.39,0.16,0.1
2009-01-31,7.8,825.88,1476.42,8000.86,0.15,0.0
2009-02-28,8.3,735.09,1377.84,7062.93,0.22,0.2
2009-03-31,8.7,797.87,1528.59,7608.92,0.18,-0.4
2009-04-30,9.0,872.81,1717.3,8168.12,0.15,-0.7
2009-05-31,9.4,919.14,1774.33,8500.33,0.18,-1.3
2009-06-30,9.5,919.32,1835.04,8447.0,0.21,-1.4
2009-07-31,9.5,987.48,1978.5,9171.61,0.16,-2.1
2009-08-31,9.6,1020.62,2009.06,9496.28,0.16,-1.5
2009-09-30,9.8,1057.08,2122.42,9712.28,0.15,-1.3
2009-10-31,10.0,1036.19,2045.11,9712.73,0.12,-0.2
2009-11-30,9.9,1095.63,2144.6,10344.84,0.12,1.8
2009-12-31,9.9,1115.1,2269.15,10428.05,0.12,2.7
2010-01-31,9.8,1073.87,2147.35,10067.33,0.11,2.6
2010-02-28,9.8,1104.49,2238.26,10325.26,0.13,2.1
2010-03-31,9.9,1169.43,2397.96,10856.63,0.16,2.3
2010-04-30,9.9,1186.69,2461.19,11008.61,0.2,2.2
2010-05-31,9.6,1089.41,2257.04,10136.63,0.2,2.0
2010-06-30,9.4,1030.71,2109.24,9774.02,0.18,1.1
2010-07-31,9.4,1101.6,2254.7,10465.94,0.18,1.2
2010-08-31,9.5,1049.33,2114.03,10014.72,0.19,1.1
2010-09-30,9.5,1141.2,2368.62,10788.05,0.19,1.1
2010-10-31,9.4,1183.26,2507.41,11118.49,0.19,1.2
2010-11-30,9.8,1180.55,2498.23,11006.02,0.19,1.1
2010-12-31,9.3,1257.64,2652.87,11577.51,0.18,1.5
2011-01-31,9.1,1286.12,2700.08,11891.93,0.17,1.6
2011-02-28,9.0,1327.22,2782.27,12226.34,0.16,2.1
2011-03-31,9.0,1325.83,2781.07,12319.73,0.14,2.7
2011-04-30,9.1,1363.61,2873.54,12810.54,0.1,3.2
2011-05-31,9.0,1345.2,2835.3,12569.79,0.09,3.6
2011-06-30,9.1,1320.64,2773.52,12414.34,0.09,3.6
2011-07-31,9.0,1292.28,2756.38,12143.24,0.07,3.6
2011-08-31,9.0,1218.89,2579.46,11613.53,0.1,3.8
2011-09-30,9.0,1131.42,2415.4,10913.38,0.08,3.9
2011-10-31,8.8,1253.3,2684.41,11955.01,0.07,3.5
2011-11-30,8.6,1246.96,2620.34,12045.68,0.08,3.4
2011-12-31,8.5,1257.6,2605.15,12217.56,0.07,3.0
2012-01-31,8.3,1312.41,2813.84,12632.91,0.08,2.9
2012-02-29,8.3,1365.68,2966.89,12952.07,0.1,2.9
2012-03-31,8.2,1408.47,3091.57,13212.04,0.13,2.7
2012-04-30,8.2,1397.91,3046.36,13213.63,0.14,2.3
2012-05-31,8.2,1310.33,2827.34,12393.45,0.16,1.7
2012-06-30,8.2,1362.16,2935.05,12880.09,0.16,1.7
2012-07-31,8.2,1379.32,2939.52,13008.68,0.16,1.4
2012-08-31,8.1,1406.58,3066.96,13090.84,0.13,1.7
2012-09-30,7.8,1440.67,3116.23,13437.13,0.14,2.0
2012-10-31,7.8,1412.16,2977.23,13096.46,0.16,2.2
2012-11-30,7.7,1416.18,3010.24,13025.58,0.16,1.8
2012-12-31,7.9,1426.19,3019.51,13104.14,0.16,1.7
2013-01-31,8.0,1498.11,3142.13,13860.58,0.14,1.6
2013-02-28,7.7,1514.68,3160.19,14054.49,0.15,2.0
2013-03-31,7.5,1569.19,3267.52,14578.54,0.14,1.5
2013-04-30,7.6,1597.57,3328.79,14839.8,0.15,1.1
2013-05-31,7.5,1630.74,3455.91,15115.57,0.11,1.4
2013-06-30,7.5,1606.28,3403.25,14909.6,0.09,1.8
2013-07-31,7.3,1685.73,3626.37,15499.54,0.09,2.0
2013-08-31,7.2,1632.97,3589.87,14810.31,0.08,1.5
2013-09-30,7.2,1681.55,3771.48,15129.67,0.08,1.2
2013-10-31,7.2,1756.54,3919.71,15545.75,0.09,1.0
2013-11-30,6.9,1805.81,4059.89,16086.41,0.08,1.2
2013-12-31,6.7,1848.36,4176.59,16576.66,0.09,1.5
2014-01-31,6.6,1782.59,4103.88,15698.85,0.07,1.6
2014-02-28,6.7,1859.45,4308.12,16321.71,0.07,1.1
2014-03-31,6.7,1872.34,4198.99,16457.66,0.08,1.5
2014-04-30,6.2,1883.95,4114.56,16580.84,0.09,2.0
2014-05-31,6.3,1923.57,4242.62,16717.17,0.09,2.1
2014-06-30,6.1,1960.23,4408.18,16826.6,0.1,2.1
2014-07-31,6.2,1930.67,4369.77,16563.3,0.09,2.0
2014-08-31,6.1,2003.37,4580.27,17098.45,0.09,1.7
2014-09-30,5.9,1972.29,4493.39,17042.9,0.09,1.7
2014-10-31,5.7,2018.05,4630.74,17390.52,0.09,1.7
2014-11-30,5.8,2067.56,4791.63,17828.24,0.09,1.3
2014-12-31,5.6,2058.9,4736.05,17823.07,0.12,0.8
2015-01-31,5.7,1994.99,4635.24,17164.95,0.11,-0.1
2015-02-28,5.5,2104.5,4963.53,18132.7,0.11,0.0
2015-03-31,5.4,2067.89,4900.88,17776.12,0.11,-0.1
2015-04-30,5.4,2085.51,4941.42,17840.52,0.12,-0.2
2015-05-31,5.6,2107.39,5070.03,18010.68,0.12,0.0
2015-06-30,5.3,2063.11,4986.87,17619.51,0.13,0.1
2015-07-31,5.2,2103.84,5128.28,17689.86,0.13,0.2
2015-08-31,5.1,1972.18,4776.51,16528.03,0.14,0.2
2015-09-30,5.0,1920.03,4620.16,16284.7,0.14,0.0
2015-10-31,5.0,2079.36,5053.75,17663.54,0.12,0.2
2015-11-30,5.1,2080.41,5108.67,17719.92,0.12,0.5
2015-12-31,5.0,2043.94,5007.41,17425.03,0.24,0.7
2016-01-31,4.8,1940.24,4613.95,16466.3,0.34,1.4
2016-02-29,4.9,1932.23,4557.95,16516.5,0.38,1.0
2016-03-31,5.0,2059.74,4869.85,17685.09,0.36,0.9
2016-04-30,5.1,2065.3,4775.36,17773.64,0.37,1.1
2016-05-31,4.8,2096.95,4948.05,17787.2,0.37,1.0
2016-06-30,4.9,2098.86,4842.67,17929.99,0.38,1.0
2016-07-31,4.8,2173.6,5162.13,18432.24,0.39,0.8
2016-08-31,4.9,2170.95,5213.22,18400.88,0.4,1.1
2016-09-30,5.0,2168.27,5312.0,18308.15,0.4,1.5
2016-10-31,4.9,2126.15,5189.14,18142.42,0.4,1.6
2016-11-30,4.7,2198.81,5323.68,19123.58,0.41,1.7
2016-12-31,4.7,2238.83,5383.12,19762.6,0.54,2.1
2017-01-31,4.7,2278.87,5614.79,19864.09,0.65,2.5
2017-02-28,4.6,2363.64,5825.44,20812.24,0.66,2.7
2017-03-31,4.4,2362.72,5911.74,20663.22,0.79,2.4
2017-04-30,4.4,2384.2,6047.61,20940.51,0.9,2.2
2017-05-31,4.4,2411.8,6198.52,21008.65,0.91,1.9
2017-06-30,4.3,2423.41,6140.42,21349.63,1.04,1.6
2017-07-31,4.3,2470.3,6348.12,21891.12,1.15,1.7
2017-08-31,4.4,2471.65,6428.66,21948.1,1.16,1.9
2017-09-30,4.3,2519.36,6495.96,22405.09,1.15,2.2
2017-10-31,4.2,2575.26,6727.67,23377.24,1.15,2.0
2017-11-30,4.2,2647.58,6873.97,24272.35,1.16,2.2
2017-12-31,4.1,2673.61,6903.39,24719.22,1.3,2.1
2018-01-31,4.0,2823.81,7411.48,26149.39,1.41,2.1
2018-02-28,4.1,2713.83,7273.01,25029.2,1.42,2.2
2018-03-31,4.0,2640.87,7063.45,24103.11,1.51,2.4
2018-04-30,4.0,2648.05,7066.27,24163.15,1.69,2.5
2018-05-31,3.8,2705.27,7442.12,24415.84,1.7,2.8
2018-06-30,4.0,2718.37,7510.3,24271.41,1.82,2.9
2018-07-31,3.8,2816.29,7671.79,25415.19,1.91,2.9
2018-08-31,3.8,2901.52,8109.54,25964.82,1.91,2.7
2018-09-30,3.7,2913.98,8046.35,26458.31,1.95,2.3
2018-10-31,3.8,2711.74,7305.9,25115.76,2.19,2.5
2018-11-30,3.8,2760.17,7330.54,25538.46,2.2,2.2
2018-12-31,3.9,2506.85,6635.28,23327.46,2.27,1.9
2019-01-31,4.0,2704.1,7281.74,24999.67,2.4,1.6
2019-02-28,3.8,2784.49,7532.53,25916.0,2.4,1.5
2019-03-31,3.8,2834.4,7729.32,25928.68,2.41,1.9
2019-04-30,3.7,2945.83,8095.39,26592.91,2.42,2.0
2019-05-31,3.6,2752.06,7453.15,24815.04,2.39,1.8
2019-06-30,3.6,2941.76,8006.24,26599.96,2.38,1.6
2019-07-31,3.7,2980.38,8175.42,26864.27,2.4,1.8
2019-08-31,3.6,2926.46,7962.88,26403.28,2.13,1.7
2019-09-30,3.5,2976.74,7999.34,26916.83,2.04,1.7
2019-10-31,3.6,3037.56,8292.36,27046.23,1.83,1.8
2019-11-30,3.6,3140.98,8665.47,28051.41,1.55,2.1
2019-12-31,3.6,3230.78,8972.6,28538.44,1.55,2.3
2020-01-31,3.6,3225.52,9150.94,28256.03,1.55,2.5
2020-02-29,3.5,2954.22,8567.37,25409.36,1.58,2.3
2020-03-31,4.4,2584.59,7700.1,21917.16,0.65,1.5
2020-04-30,14.8,2912.43,8889.55,24345.72,0.05,0.3
2020-05-31,13.2,3044.31,9489.87,25383.11,0.05,0.1
2020-06-30,11.0,3100.29,10058.77,25812.88,0.08,0.6
2020-07-31,10.2,3271.12,10745.27,26428.32,0.09,1.0
2020-08-31,8.4,3500.31,11775.46,28430.05,0.1,1.3
2020-09-30,7.8,3363.0,11167.51,27781.7,0.09,1.4
2020-10-31,6.9,3269.96,10911.59,26501.6,0.09,1.2
2020-11-30,6.7,3621.63,12198.74,29638.64,0.09,1.2
2020-12-31,6.7,3756.07,12888.28,30606.48,0.09,1.4
2021-01-31,6.4,3714.24,13070.69,29982.62,0.09,1.4
2021-02-28,6.2,3811.15,13192.35,30932.37,0.08,1.7
2021-03-31,6.1,3972.89,13246.87,32981.55,0.07,2.6
2021-04-30,6.1,4181.17,13962.68,33874.85,0.07,4.2
2021-05-31,5.8,4204.11,13748.74,34529.45,0.06,5.0
2021-06-30,5.9,4297.5,14503.95,34502.51,0.08,5.4
2021-07-31,5.4,4395.26,14672.68,34935.47,0.1,5.4
2021-08-31,5.1,4522.68,15259.24,35360.73,0.09,5.3
2021-09-30,4.7,4307.54,14448.58,33843.92,0.08,5.4
2021-10-31,4.5,4605.38,15498.39,35819.56,0.08,6.2
2021-11-30,4.2,4567.0,15537.69,34483.72,0.08,6.8
2021-12-31,3.9,4766.18,15644.97,36338.3,0.08,7.0
2022-01-31,4.0,4515.55,14239.88,35131.86,0.08,7.5
2022-02-28,3.8,4373.94,13751.4,33892.6,0.08,7.9
2022-03-31,3.7,4530.41,14220.52,34678.35,0.2,8.5
2022-04-30,3.7,4131.93,12334.64,32977.21,0.33,8.3
2022-05-31,3.6,4132.15,12081.39,32990.12,0.77,8.6
2022-06-30,3.6,3785.38,11028.74,30775.43,1.21,9.1
2022-07-31,3.5,4130.29,12390.69,32845.13,1.68,8.5
2022-08-31,3.6,3955.0,11816.2,31510.43,2.33,8.3
2022-09-30,3.5,3585.62,10575.62,28725.51,2.56,8.2
2022-10-31,3.6,3871.98,10988.15,32732.95,3.08,7.7
2022-11-30,3.6,4080.11,11468.0,34589.77,3.78,7.1
2022-12-31,3.5,3839.5,10466.48,33147.25,4.1,6.5
2023-01-31,3.5,4076.6,11584.55,34086.04,4.33,6.4
2023-02-28,3.6,3970.15,11455.54,32656.7,4.57,6.0
2023-03-31,3.5,4109.31,12221.91,33274.15,4.65,5.0
2023-04-30,3.4,4169.48,12226.58,34098.16,4.83,4.9
2023-05-31,3.6,4179.83,12935.29,32908.27,5.06,4.0
2023-06-30,3.6,4450.38,13787.92,34407.6,5.08,3.0
2023-07-31,3.5,4588.96,14346.02,35559.53,5.12,3.2
2023-08-31,3.7,4507.66,14034.97,34721.91,5.33,3.7
2023-09-30,3.8,4288.05,13219.32,33507.5,5.33,3.7
2023-10-31,3.9,4193.8,12851.24,33052.87,5.33,3.2
2023-11-30,3.7,4567.8,14226.22,35950.89,5.33,3.1
2023-12-31,3.8,4769.83,15011.35,37689.54,5.33,3.4
2024-01-31,3.7,4845.65,15164.01,38150.3,5.33,3.1
2024-02-29,3.9,5096.27,16091.92,38996.39,5.33,3.2
2024-03-31,3.9,5254.35,16379.46,39807.37,5.33,3.5
2024-04-30,3.9,5035.69,15657.82,37815.92,5.33,3.4
2024-05-31,4.0,5277.51,16735.02,38686.32,5.33,3.3
2024-06-30,4.1,5460.48,17732.6,39118.86,5.33,3.0
2024-07-31,4.2,5522.3,17599.4,40842.79,5.33,2.9
2024-08-31,4.2,5648.4,17713.62,41563.08,5.33,2.5
2024-09-30,4.1,5762.48,18189.17,42330.15,5.13,2.4
2024-10-31,4.1,5705.45,18095.15,41763.46,4.83,2.6
2024-11-30,4.2,6032.38,19218.17,44910.65,4.64,2.7
2024-12-31,4.1,5881.63,19310.79,42544.22,4.48,2.9
2025-01-31,4.0,6040.53,19627.44,44544.66,4.33,3.0
2025-02-28,4.1,5954.5,18847.28,43840.91,4.33,2.8
